id,y_true,y_pred
property_1210995276_prodej_byt_3_kk_praha-horni-mecholupy-bolonska,9899000.0,9668133.143723719
property_2665570892_prodej_byt_1_kk_praha-nove-mesto-vaclavske-namesti,10200000.0,9204604.966845151
property_1493914188_prodej_byt_3_1_praha-kosire-jinonicka,10900000.0,11493833.839024324
property_1710514764_prodej_byt_3_kk_praha-bubenec-na-vysinach,14784000.0,12357189.08742322
property_1975677516_prodej_byt_2_kk_praha-michle-magistru,9298000.0,9390358.174144713
property_2018943564_prodej_byt_3_kk_praha-smichov-na-neklance,14837120.0,14347046.667895997
property_2895606348_prodej_byt_2_kk_praha-bohnice-katovicka,6380000.0,6448921.546619634
property_3084400204_prodej_byt_3_kk_praha-nusle-kloboucnicka,8990000.0,9057826.724175846
property_2116719180_prodej_byt_2_kk_praha-malesice-akademicka,7700000.0,7778921.434799425
property_536900172_prodej_byt_2_1_praha-zizkov-pod-lipami,6950000.0,6808248.576152452
property_329892428_prodej_byt_2_kk_praha-liben-k-moravine,9542400.0,8490373.596362792
property_3103412812_prodej_byt_4_1_praha-kobylisy-tanvaldska,9999990.0,9979674.565581867
property_4052391244_prodej_byt_2_kk_praha-praha-lysolaje-,12950000.0,11166043.921909692
property_3110433356_prodej_byt_3_1_praha-hostivar-kozmikova,7750000.0,9102589.579390645
property_133812812_prodej_byt_2_kk_praha-uhrineves-,6690000.0,7355840.865850583
property_3845047628_prodej_byt_2_kk_praha-kamyk-hodkovicka,8847100.0,8225395.968978429
property_788337228_prodej_byt_2_kk_praha-chodov-leopoldova,7850000.0,7946170.440962541
property_770015820_prodej_byt_3_kk_praha-zlicin-misovicka,9390000.0,10265182.49410778
property_2831962700_prodej_byt_3_kk_praha-liben-drahobejlova,7490000.0,7611995.813716525
property_862229068_prodej_byt_2_kk_praha-chodov-ceneticka,5850000.0,6178863.981738871
property_2383942220_prodej_byt_1_kk_praha-nove-mesto-v-tunich,8349000.0,8016726.0068632
property_862995788_prodej_byt_1_kk_praha-zabehlice-pracska,6299000.0,6258701.38364149
property_3281003084_prodej_byt_4_kk_praha-krc-pod-visnovkou,11390000.0,12215541.323561031
property_1418801740_prodej_byt_2_1_praha-smichov-moulikova,9100000.0,9754384.781691708
property_3624690252_prodej_byt_3_kk_praha-hostivar-prazska,11500000.0,12236853.998927211
property_913527372_prodej_byt_2_kk_praha-chodov-ceneticka,5137000.0,5054513.670174707
property_2095211084_prodej_byt_1_kk_praha-zabehlice-jablonova,4400000.0,4249316.730137874
property_2339701324_prodej_byt_2_kk_praha-vysocany-podebradska,7427948.0,8552300.375671318
property_1840895308_prodej_byt_2_kk_praha-liben-u-libenskeho-pivovaru,8150000.0,7920863.916960344
property_2129478988_prodej_byt_2_kk_praha-vysocany-,8209020.0,9024270.318367649
property_2849534540_prodej_byt_3_kk_praha-kbely-hulkova,11055000.0,12210817.275362547
property_2756862540_prodej_byt_2_kk_praha-smichov-u-blazenky,9400000.0,8714536.712754063
property_527831628_prodej_byt_3_kk_praha-letnany-skrabkovych,11900000.0,12434540.983580222
property_1668637260_prodej_byt_2_kk_praha-hlubocepy-benesova,8190000.0,8169391.285299978
property_2822988364_prodej_byt_3_kk_praha-liben-bublikova,14500000.0,12966841.4232708
property_899138124_prodej_byt_1_kk_praha-vysocany-kolbenova,7315000.0,6612325.246448574
property_3639136844_prodej_byt_2_kk_praha-strasnice-vinohradska,8570000.0,8934567.761952326
property_1815016012_prodej_byt_1_kk_praha-chodov-,6199000.0,5882363.053639465
property_3013616972_prodej_byt_2_kk_praha-cakovice-marie-podvalove,7605192.0,7601792.78414706
property_2621596236_prodej_byt_2_kk_praha-stodulky-v-hurkach,7799000.0,6462650.015024697
property_3763823180_prodej_byt_2_kk_praha-stodulky-brdickova,6390000.0,6676445.913776345
property_3920581196_prodej_byt_1_1_praha-nusle-petra-rezka,5800000.0,5200191.2331519155
property_927987020_prodej_byt_3_kk_praha-cerny-most-arnosta-valenty,9792000.0,9283989.82751279
property_2956976716_prodej_byt_2_kk_praha-zizkov-malesicka,9614000.0,8658927.921165053
property_3256181324_prodej_byt_2_kk_praha-zizkov-olgy-havlove,8190000.0,7832938.037554364
property_256725580_prodej_byt_2_1_praha-vinohrady-rybalkova,10150000.0,9134039.871413797
property_2998860_prodej_byt_3_kk_praha-pitkovice-v-pitkovickach,10600000.0,12937717.37628784
property_2039263820_prodej_byt_1_kk_praha-liben-pod-labutkou,4990000.0,5966429.6896223305
property_2477486668_prodej_byt_2_kk_praha-lochkov-u-sladovny,7390000.0,6919101.902168168
property_559859020_prodej_byt_3_kk_praha-kamyk-hodkovicka,10985466.0,11565840.84115718
property_1744142924_prodej_byt_3_kk_praha-hlubocepy-wassermannova,12139376.0,12049769.309288815
property_4068487756_prodej_byt_1_kk_praha-brevnov-u-petrin,8170160.0,6471035.936430035
property_331944524_prodej_byt_3_kk_praha-chodov-dunovskeho,14442000.0,12639017.876827475
property_771351116_prodej_byt_3_1_praha-modrany-plovdivska,7900000.0,8541672.121885322
property_3157021260_prodej_byt_2_kk_praha-zizkov-bukova,7150000.0,7844100.216379448
property_981029452_prodej_byt_3_kk_praha-praha-pracska,9622000.0,9885139.205779638
property_1104265804_prodej_byt_2_1_praha-vysocany-na-brehu,8500000.0,9269821.846924372
property_2990322252_prodej_byt_2_kk_praha-malesice-nad-vodovodem,9490000.0,10119944.531469021
property_2706661964_prodej_byt_3_kk_praha-troja-mazurska,14600000.0,12068645.53793228
property_463115596_prodej_byt_2_kk_praha-praha-lysolaje-,8500000.0,8095799.600299239
property_3632165452_prodej_byt_2_kk_praha-michle-u-plynarny,11990000.0,11927807.085092297
property_662860364_prodej_byt_2_kk_praha-smichov-na-neklance,9683025.0,9731109.51576274
property_1278149964_prodej_byt_1_kk_praha-nove-mesto-skolska,8500000.0,8487042.01292385
property_3865145932_prodej_byt_1_kk_praha-lhotka-u-noveho-dvora,5390000.0,5076793.803302612
property_1540530764_prodej_byt_2_kk_praha-hrdlorezy-mezilehla,9868588.0,7599218.694457292
property_1128252748_prodej_byt_2_kk_praha-praha-5-na-vysoke-i,10875240.0,11504700.715956843
property_2187866700_prodej_byt_1_kk_praha-vinohrady-na-folimance,4750000.0,5275080.118142939
property_1322627660_prodej_byt_3_kk_praha-praha-9-,10335864.0,9835338.380488487
property_759587404_prodej_byt_2_kk_praha-sobin-zeleticka,6950000.0,7659859.763565147
property_644100684_prodej_byt_2_kk_praha-michle-magistru,8398000.0,8737567.70575478
property_2379280972_prodej_byt_3_kk_praha-zizkov-jana-zelivskeho,14181731.0,12019797.923996596
property_2833474124_prodej_byt_3_1_praha-branik-vavrenova,7500000.0,8618966.117352327
property_4000314700_prodej_byt_3_kk_praha-cerny-most-arnosta-valenty,8929386.0,9391657.088816395
property_129589836_prodej_byt_2_1_praha-brevnov-santrochova,6990000.0,7174173.000078665
property_269009484_prodej_byt_4_kk_praha-pitkovice-majovkova,12990000.0,12976641.916403173
property_2628280908_prodej_byt_2_kk_praha-holesovice-u-papirny,10891130.0,10190547.481237218
property_450896460_prodej_byt_1_kk_praha-bohnice-lodzska,5965650.0,6091951.073485773
property_1924932172_prodej_byt_1_kk_praha-veleslavin-sumberova,7210000.0,6222052.376344998
property_2740897100_prodej_byt_2_kk_praha-kamyk-hodkovicka,8048226.0,7724517.2583888
property_1565413964_prodej_byt_2_kk_praha-chodov-ceneticka,5772000.0,6052348.93955969
property_1972703820_prodej_byt_3_1_praha-praha-zlicin-na-radosti,7990000.0,8712816.003807228
property_1406886476_prodej_byt_1_kk_praha-vysocany-podebradska,4851979.0,4615354.590640724
property_2081841740_prodej_byt_4_1_praha-praha-hornomecholupska,9000000.0,12572923.168598574
property_3167621708_prodej_byt_1_kk_praha-uhrineves-douchova,4490764.0,4701902.2334440565
property_4117217868_prodej_byt_3_kk_praha-stodulky-radounova,11950000.0,12268497.399294311
property_1612239436_prodej_byt_3_kk_praha-uhrineves-,9090000.0,10647290.710806662
property_2393010764_prodej_byt_3_kk_praha-vrsovice-,9000000.0,11652865.996893106
property_4236628556_prodej_byt_3_kk_praha-modrany-rilska,7199000.0,8400423.8598398
property_1612018252_prodej_byt_4_kk_praha-strasnice-prubezna,9990000.0,10706551.942894164
property_4167258700_prodej_byt_2_kk_praha-hodkovicky-u-zatisi,7995000.0,7502814.281253675
property_1260483148_prodej_byt_2_kk_praha-zizkov-stitneho,7350000.0,8268601.671741724
property_2745774668_prodej_byt_3_kk_praha-hostivar-na-pliskave,14490000.0,13026713.355596516
property_3756225100_prodej_byt_3_kk_praha-hlubocepy-voskovcova,13250000.0,13528796.997232243
property_442364492_prodej_byt_2_kk_praha-dolni-pocernice-cernodolska,8117131.0,8071683.938963734
property_2458378828_prodej_byt_5_kk_praha-hostivar-miranova,13990000.0,13482915.867150085
property_264839756_prodej_byt_4_1_praha-zabehlice-hyacintova,13600000.0,14553010.817279814
